M001	B01	nula	COMPILA	MUERTO-PRUEBA-CAUSAL	19377432115	compila_sha=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	prueba_sha=ebca40ad83f92cac30e05ab2bdf189f553e42bd9d4f79d9e669a416505c43587
M002	B01	no-A6	COMPILA	MUERTO-PRUEBA-CAUSAL	1671966543	compila_sha=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	prueba_sha=ebca40ad83f92cac30e05ab2bdf189f553e42bd9d4f79d9e669a416505c43587
M003	B01	alias	COMPILA	MUERTO-PRUEBA-CAUSAL	1645749676	compila_sha=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	prueba_sha=ebca40ad83f92cac30e05ab2bdf189f553e42bd9d4f79d9e669a416505c43587
M004	B01	consumida	COMPILA	MUERTO-PRUEBA-CAUSAL	1581746673	compila_sha=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	prueba_sha=ebca40ad83f92cac30e05ab2bdf189f553e42bd9d4f79d9e669a416505c43587
M005	B02	autoidentidad	COMPILA	MUERTO-PRUEBA-CAUSAL	1634428588	compila_sha=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	prueba_sha=ebca40ad83f92cac30e05ab2bdf189f553e42bd9d4f79d9e669a416505c43587
M006	B02	registro	COMPILA	MUERTO-PRUEBA-CAUSAL	19234984741	compila_sha=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	prueba_sha=ebca40ad83f92cac30e05ab2bdf189f553e42bd9d4f79d9e669a416505c43587
M007	B02	pertenencia	COMPILA	MUERTO-PRUEBA-CAUSAL	1675434952	compila_sha=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	prueba_sha=ebca40ad83f92cac30e05ab2bdf189f553e42bd9d4f79d9e669a416505c43587
M008	B02	generacion	COMPILA	MUERTO-PRUEBA-CAUSAL	1704845373	compila_sha=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	prueba_sha=ebca40ad83f92cac30e05ab2bdf189f553e42bd9d4f79d9e669a416505c43587
M009	B02	TID	COMPILA	MUERTO-PRUEBA-CAUSAL	1639057718	compila_sha=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	prueba_sha=ebca40ad83f92cac30e05ab2bdf189f553e42bd9d4f79d9e669a416505c43587
M010	B02	CAS	COMPILA	MUERTO-PRUEBA-CAUSAL	1762952604	compila_sha=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	prueba_sha=ebca40ad83f92cac30e05ab2bdf189f553e42bd9d4f79d9e669a416505c43587
M011	B03	primera-lectura	COMPILA	MUERTO-PRUEBA-CAUSAL	35418867977	compila_sha=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	prueba_sha=ebca40ad83f92cac30e05ab2bdf189f553e42bd9d4f79d9e669a416505c43587
M012	B03	ultima-lectura	COMPILA	MUERTO-PRUEBA-CAUSAL	2692585998	compila_sha=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	prueba_sha=ebca40ad83f92cac30e05ab2bdf189f553e42bd9d4f79d9e669a416505c43587
