base_sha	id	compilo	oraculo	estado	clasificacion
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	BASE	si	autoprueba	0	verde
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M001	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M002	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M003	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M004	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M005	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M006	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M007	si	autoprueba	2	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M008	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M009	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M010	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M011	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M012	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M013	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M014	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M015	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M016	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M017	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M018	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M019	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M020	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M021	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M022	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M023	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M024	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M025	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M026	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M027	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M028	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M029	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M030	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M031	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M032	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M033	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M034	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M035	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M036	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M037	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M038	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M039	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M040	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M041	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M042	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M043	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M044	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M045	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M046	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M047	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M048	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M049	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M050	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M051	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M052	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M053	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M054	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M055	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M056	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M057	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M058	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M059	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M060	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M061	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M062	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M063	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M064	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M065	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M066	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M067	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M068	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M069	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M070	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M071	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M072	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M073	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M074	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M075	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M076	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M077	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M078	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M079	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M080	si	autoprueba	65	muerto
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M081	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M082	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M083	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M084	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M085	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M086	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M087	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M088	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M089	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M090	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M091	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M092	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M093	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M094	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M095	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M096	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M097	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M098	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M099	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M100	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M101	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M102	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M103	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M104	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M105	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M106	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M107	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M108	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M109	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M110	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M111	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M112	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M113	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M114	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M115	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M116	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M117	si	ast_tipado	1	muerto_ast
96433734ac00981b9d49733a089baedd68a7d7e4fda07f1909f0eeac721edf1d	M118	si	ast_tipado	1	muerto_ast
