bloque	modo	sha_script	inicio_utc	duracion_ms	estado_script	filas	resultado
c01_c07	normal	9236cd1d7ca6cb1ebfbfb511c3913b96be980ba28acebeedad91e2f70deaedc3	2026-08-10T10:44:55Z	5768	0	7	GO
c02_interleavings	normal	67d993b84c3c337a230a53f90d12ed91c08021c8ef88279cc93fd8557659f78a	2026-08-10T10:45:01Z	4270	0	3	GO
c08_c11_c14	normal	a07c561ad3a616a59256f3bcb317cf803c3c0a0b01f6a09eabad3cfb8614329e	2026-08-10T10:45:05Z	4935	0	9	GO
c10_c13	normal	70e2413081711d3f7019fa5daa4f5172d2ddde2b6eb5f2b121dc7d82f478cd46	2026-08-10T10:45:10Z	4439	0	7	GO
c15_c21	normal	edf6a719eed6c96f920265c8c51df16b458d172744cb6cf06b581188e13ac0fa	2026-08-10T10:45:15Z	13276	0	5	GO
c19	normal	cb8629842b2635ea36293d788ed9980f174b18e19d570b3f5e4f124f830d81f5	2026-08-10T10:45:28Z	2229	0	3	GO
c20	normal	189c59f0ee235722a3aeac1491bb21de26015da99746027a4a20f489ec1b9b8e	2026-08-10T10:45:30Z	2319	0	3	GO
c01_c07	race	9236cd1d7ca6cb1ebfbfb511c3913b96be980ba28acebeedad91e2f70deaedc3	2026-08-10T10:45:33Z	50749	0	7	GO
c02_interleavings	race	67d993b84c3c337a230a53f90d12ed91c08021c8ef88279cc93fd8557659f78a	2026-08-10T10:46:23Z	2544	0	3	GO
c08_c11_c14	race	a07c561ad3a616a59256f3bcb317cf803c3c0a0b01f6a09eabad3cfb8614329e	2026-08-10T10:46:26Z	6457	0	9	GO
c10_c13	race	70e2413081711d3f7019fa5daa4f5172d2ddde2b6eb5f2b121dc7d82f478cd46	2026-08-10T10:46:32Z	5329	0	7	GO
c15_c21	race	edf6a719eed6c96f920265c8c51df16b458d172744cb6cf06b581188e13ac0fa	2026-08-10T10:46:38Z	116054	0	5	GO
c19	race	cb8629842b2635ea36293d788ed9980f174b18e19d570b3f5e4f124f830d81f5	2026-08-10T10:48:34Z	2123	0	3	GO
c20	race	189c59f0ee235722a3aeac1491bb21de26015da99746027a4a20f489ec1b9b8e	2026-08-10T10:48:36Z	2520	0	3	GO
